Date;temperature;humidite;IQ;IQ_J+1;IQ_J+2;IQ_J+3
29/11/2019 12:00;8.5;73.0;3;4;6;5
29/11/2019 09:00;6.3;90.0;3;4;6;5
29/11/2019 06:00;6.7;95.0;3;4;6;5
29/11/2019 03:00;7.5;91.0;3;4;6;5
29/11/2019 00:00;8.3;97.0;3;4;6;5
28/11/2019 21:00;9.0;96.0;3;3;4;6
28/11/2019 18:00;9.6;84.0;3;3;4;6
28/11/2019 15:00;10.6;79.0;3;3;4;6
28/11/2019 12:00;11.2;80.0;3;3;4;6
28/11/2019 09:00;9.7;93.0;3;3;4;6
28/11/2019 06:00;9.4;91.0;3;3;4;6
28/11/2019 03:00;9.6;88.0;3;3;4;6
28/11/2019 00:00;9.7;85.0;3;3;4;6
27/11/2019 21:00;10.4;89.0;3;3;3;4
27/11/2019 18:00;10.8;86.0;3;3;3;4
27/11/2019 15:00;10.8;89.0;3;3;3;4
27/11/2019 12:00;11.0;82.0;3;3;3;4
27/11/2019 09:00;10.5;84.0;3;3;3;4
27/11/2019 06:00;10.4;87.0;3;3;3;4
27/11/2019 03:00;10.1;97.0;3;3;3;4
27/11/2019 00:00;10.7;95.0;3;3;3;4
26/11/2019 21:00;11.2;91.0;2;3;3;3
26/11/2019 18:00;11.4;90.0;2;3;3;3
26/11/2019 15:00;11.7;89.0;2;3;3;3
26/11/2019 12:00;10.8;92.0;2;3;3;3
26/11/2019 09:00;10.8;88.0;2;3;3;3
26/11/2019 06:00;10.4;95.0;2;3;3;3
26/11/2019 03:00;10.1;98.0;2;3;3;3
26/11/2019 00:00;9.4;97.0;2;3;3;3
25/11/2019 21:00;9.5;86.0;2;2;3;3
25/11/2019 18:00;9.5;85.0;2;2;3;3
25/11/2019 15:00;10.8;80.0;2;2;3;3
25/11/2019 12:00;9.0;89.0;2;2;3;3
25/11/2019 09:00;7.6;95.0;2;2;3;3
25/11/2019 06:00;7.6;93.0;2;2;3;3
25/11/2019 03:00;6.2;95.0;2;2;3;3
25/11/2019 00:00;6.7;97.0;2;2;3;3
24/11/2019 21:00;7.0;91.0;4;2;2;3
24/11/2019 18:00;8.7;95.0;4;2;2;3
24/11/2019 15:00;9.3;92.0;4;2;2;3
24/11/2019 12:00;7.7;99.0;4;2;2;3
24/11/2019 09:00;6.7;100.0;4;2;2;3
24/11/2019 06:00;6.5;99.0;4;2;2;3
24/11/2019 03:00;4.1;94.0;4;2;2;3
24/11/2019 00:00;5.6;89.0;4;2;2;3
23/11/2019 21:00;5.9;87.0;3;4;2;2
23/11/2019 18:00;7.0;83.0;3;4;2;2
23/11/2019 15:00;8.6;77.0;3;4;2;2
23/11/2019 12:00;9.6;79.0;3;4;2;2
23/11/2019 09:00;11.1;79.0;3;4;2;2
23/11/2019 06:00;8.7;90.0;3;4;2;2
23/11/2019 03:00;9.9;77.0;3;4;2;2
23/11/2019 00:00;9.4;78.0;3;4;2;2
22/11/2019 21:00;8.7;76.0;3;3;4;2
22/11/2019 18:00;7.7;82.0;3;3;4;2
22/11/2019 15:00;9.5;74.0;3;3;4;2
22/11/2019 12:00;10.3;73.0;3;3;4;2
22/11/2019 09:00;7.5;83.0;3;3;4;2
22/11/2019 06:00;7.4;86.0;3;3;4;2
22/11/2019 03:00;6.8;88.0;3;3;4;2
22/11/2019 00:00;6.1;92.0;3;3;4;2
21/11/2019 21:00;4.3;92.0;4;3;3;4
21/11/2019 18:00;3.3;91.0;4;3;3;4
21/11/2019 15:00;6.2;82.0;4;3;3;4
21/11/2019 12:00;3.5;90.0;4;3;3;4
21/11/2019 09:00;1.2;95.0;4;3;3;4
21/11/2019 06:00;0.0;93.0;4;3;3;4
21/11/2019 03:00;-0.4;92.0;4;3;3;4
21/11/2019 00:00;-0.9;91.0;4;3;3;4
20/11/2019 21:00;0.2;91.0;3;4;3;3
20/11/2019 18:00;2.1;86.0;3;4;3;3
20/11/2019 15:00;5.2;75.0;3;4;3;3
20/11/2019 12:00;4.8;77.0;3;4;3;3
20/11/2019 09:00;1.0;89.0;3;4;3;3
20/11/2019 06:00;-1.4;94.0;3;4;3;3
20/11/2019 03:00;-0.8;95.0;3;4;3;3
20/11/2019 00:00;1.3;95.0;3;4;3;3
19/11/2019 21:00;1.7;95.0;3;3;4;3
19/11/2019 18:00;3.3;85.0;3;3;4;3
19/11/2019 15:00;6.8;69.0;3;3;4;3
19/11/2019 12:00;6.4;71.0;3;3;4;3
19/11/2019 09:00;2.8;93.0;3;3;4;3
19/11/2019 06:00;1.4;97.0;3;3;4;3
19/11/2019 03:00;2.3;95.0;3;3;4;3
19/11/2019 00:00;4.0;90.0;3;3;4;3
18/11/2019 21:00;5.5;87.0;5;3;3;4
18/11/2019 18:00;6.4;84.0;5;3;3;4
18/11/2019 15:00;8.3;87.0;5;3;3;4
18/11/2019 12:00;7.4;94.0;5;3;3;4
18/11/2019 09:00;5.3;96.0;5;3;3;4
18/11/2019 06:00;3.9;91.0;5;3;3;4
18/11/2019 03:00;2.9;92.0;5;3;3;4
18/11/2019 00:00;3.5;88.0;5;3;3;4
17/11/2019 21:00;4.6;85.0;3;5;3;3
17/11/2019 18:00;5.6;79.0;3;5;3;3
17/11/2019 15:00;7.4;70.0;3;5;3;3
17/11/2019 12:00;8.3;67.0;3;5;3;3
17/11/2019 09:00;4.4;89.0;3;5;3;3
17/11/2019 06:00;3.4;95.0;3;5;3;3
17/11/2019 03:00;3.1;92.0;3;5;3;3
17/11/2019 00:00;5.4;88.0;3;5;3;3
16/11/2019 21:00;5.6;88.0;2;3;5;3
16/11/2019 18:00;6.0;85.0;2;3;5;3
16/11/2019 15:00;6.7;79.0;2;3;5;3
16/11/2019 12:00;5.9;81.0;2;3;5;3
16/11/2019 09:00;4.0;85.0;2;3;5;3
16/11/2019 06:00;3.8;86.0;2;3;5;3
16/11/2019 03:00;4.1;87.0;2;3;5;3
16/11/2019 00:00;2.7;90.0;2;3;5;3
