numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20200320090000;102520;130;1;50;6.400000;281.450000;279.050000;85;7850;0;mq;mq;mq;mq;mq;mq;mq;mq;101630;mq;mq;-90;mq;mq;mq;mq;280.950000;mq;mq;10.300000;12.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20200320090000;102570;120;1;40;5.700000;281.050000;278.150000;82;9040;0;mq;mq;100;8;450;mq;mq;mq;101990;mq;mq;-50;mq;mq;mq;mq;280.750000;mq;mq;8.400000;10.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20200320090000;102380;50;1;60;14.500000;281.850000;280.250000;90;2000;62;6;2;100;8;800;36;mq;mq;102270;mq;mq;-60;mq;mq;mq;mq;mq;mq;mq;19.500000;19.900000;-10;mq;mq;mq;mq;0.200000;2.800000;8.900000;8.900000;8.900000;mq;mq;mq;mq;8;7;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20200320090000;102310;60;3;60;4.700000;282.250000;281.750000;97;2660;10;mq;mq;100;8;150;mq;mq;mq;101490;mq;mq;-130;mq;mq;mq;mq;281.250000;mq;mq;7.900000;9.500000;-10;2;0.000000;mq;mq;0.000000;-0.100000;-0.100000;0.600000;0.800000;mq;mq;mq;mq;8;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20200320090000;102330;70;2;50;6.300000;282.650000;282.050000;96;3370;10;mq;mq;100;8;150;mq;mq;mq;100480;mq;mq;-150;mq;mq;mq;mq;282.450000;mq;mq;8.400000;9.900000;-10;mq;0.000000;mq;mq;0.000000;1.600000;1.600000;1.600000;1.600000;mq;mq;mq;mq;8;mq;150;mq;8;mq;mq;mq;mq;mq;mq;mq;
07072;20200320090000;102270;50;1;10;2.800000;284.850000;281.150000;78;10050;0;mq;mq;90;7;2250;mq;mq;mq;101120;mq;mq;-240;mq;mq;mq;mq;275.850000;mq;mq;3.600000;3.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;2220;7;mq;3000;mq;mq;mq;mq;mq;mq;
07110;20200320090000;102040;60;1;60;9.800000;282.950000;282.350000;96;4130;10;mq;mq;100;8;150;mq;mq;mq;100850;mq;mq;-250;mq;mq;mq;mq;281.350000;mq;mq;14.000000;14.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;180;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20200320090000;102190;110;1;60;9.900000;282.550000;281.650000;94;6000;2;2;mq;100;8;450;36;mq;mq;101480;mq;mq;-160;mq;mq;mq;mq;mq;mq;mq;15.600000;15.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20200320090000;102030;110;2;30;3.000000;286.350000;283.350000;82;6310;0;mq;mq;mq;0;mq;mq;mq;mq;101580;mq;mq;-280;mq;mq;mq;mq;281.450000;mq;mq;4.800000;5.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20200320090000;102140;110;1;40;4.900000;285.950000;282.350000;79;8040;0;mq;mq;mq;0;mq;mq;mq;mq;100400;mq;mq;-240;mq;mq;mq;mq;283.150000;mq;mq;7.300000;7.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
