Date;Indice de Lille;Dioxyde de soufre (SO2);Dioxyde d'azote (NO2);Ozone (O3);Poussieres PM10
13/04/2020;N/D;/;/;/;/
12/04/2020;5;/;1;5;4
11/04/2020;4;/;1;4;3
10/04/2020;5;/;1;5;5
09/04/2020;8;/;2;5;8
08/04/2020;7;/;3;6;7
07/04/2020;4;/;2;4;3
06/04/2020;4;/;1;4;3
05/04/2020;5;/;1;5;4
04/04/2020;4;/;1;4;3
03/04/2020;3;/;1;3;3
02/04/2020;4;/;2;4;3
01/04/2020;4;/;2;4;4
31/03/2020;4;/;2;4;3
30/03/2020;4;/;2;4;2
29/03/2020;4;/;1;4;3
28/03/2020;7;/;1;4;7
27/03/2020;7;/;2;3;7
26/03/2020;5;/;1;4;5
25/03/2020;4;/;2;4;4
24/03/2020;4;/;2;4;3
23/03/2020;4;/;1;4;3
22/03/2020;3;/;1;3;2
21/03/2020;3;/;1;3;2
20/03/2020;4;/;1;3;4
19/03/2020;4;/;2;3;4
18/03/2020;4;/;2;4;3
17/03/2020;4;/;2;4;3
16/03/2020;4;/;3;3;4
15/03/2020;3;/;2;3;3
14/03/2020;3;/;2;3;2
13/03/2020;4;/;2;3;4
12/03/2020;4;/;1;4;3
11/03/2020;3;/;1;3;1
10/03/2020;3;/;1;3;1
09/03/2020;3;/;2;3;3
08/03/2020;3;/;1;3;3
07/03/2020;3;/;2;3;3
06/03/2020;4;/;2;4;3
05/03/2020;2;/;2;2;2
04/03/2020;3;/;2;3;3
03/03/2020;3;/;2;3;2
02/03/2020;3;/;2;3;2
01/03/2020;3;/;2;3;2
29/02/2020;4;/;1;4;4
28/02/2020;3;/;3;3;3
27/02/2020;3;/;2;3;2
26/02/2020;3;/;2;3;2
25/02/2020;4;/;1;4;2
24/02/2020;3;/;1;3;2
23/02/2020;3;/;1;3;2
22/02/2020;3;/;1;3;2
21/02/2020;3;/;2;3;3
20/02/2020;3;/;1;3;2
19/02/2020;3;/;2;3;3
18/02/2020;3;/;1;3;2
17/02/2020;4;/;1;4;2
16/02/2020;4;/;1;4;2
15/02/2020;3;/;1;3;3
14/02/2020;3;/;2;3;3
13/02/2020;3;/;1;3;2
12/02/2020;3;/;2;3;3
11/02/2020;4;/;1;4;4
10/02/2020;4;/;1;4;3
09/02/2020;4;/;1;4;2
08/02/2020;3;/;2;3;3
07/02/2020;5;/;2;2;5
06/02/2020;6;/;3;3;6
05/02/2020;3;/;3;3;3
04/02/2020;3;/;1;3;3
03/02/2020;3;/;1;3;3
02/02/2020;3;/;1;3;3
01/02/2020;3;/;1;3;3
31/01/2020;3;/;1;3;1
30/01/2020;3;/;2;3;2
29/01/2020;3;/;3;3;3
28/01/2020;4;/;1;4;2
27/01/2020;3;/;2;3;2
26/01/2020;5;/;1;2;5
25/01/2020;5;/;2;1;5
24/01/2020;5;/;2;1;5
23/01/2020;4;/;2;1;4
