IQ;date;pressure;wind_direction;wind_force;humidity;temperature
5.0;2015-01-01 00:00:00+00:00;103030;170;2.4;100;272.85
5.0;2015-01-01 03:00:00+00:00;102920;160;3.5;95;272.75
5.0;2015-01-01 06:00:00+00:00;102990;170;3.4;94;272.65
5.0;2015-01-01 09:00:00+00:00;103010;190;4.7;85;274.35
5.0;2015-01-01 12:00:00+00:00;102820;190;6.4;72;277.25
5.0;2015-01-01 15:00:00+00:00;102650;190;6.7;75;276.85
5.0;2015-01-01 18:00:00+00:00;102540;190;7.7;79;276.05
5.0;2015-01-01 21:00:00+00:00;102390;190;7.7;77;276.25
3.0;2015-01-02 00:00:00+00:00;102180;190;7.4;83;276.65
3.0;2015-01-02 03:00:00+00:00;101980;200;7.7;90;278.55
3.0;2015-01-02 06:00:00+00:00;101930;210;6.7;98;280.05
3.0;2015-01-02 09:00:00+00:00;102210;260;6.7;91;283.65
3.0;2015-01-02 12:00:00+00:00;102490;310;6.6;61;281.75
3.0;2015-01-02 15:00:00+00:00;102710;290;4.0;64;281.55
3.0;2015-01-02 18:00:00+00:00;102890;260;3.9;83;276.55
3.0;2015-01-02 21:00:00+00:00;102960;250;4.0;87;275.05
3.0;2015-01-03 00:00:00+00:00;102840;230;1.0;80;276.75
3.0;2015-01-03 03:00:00+00:00;102650;190;3.6;90;275.65
3.0;2015-01-03 06:00:00+00:00;102320;190;2.3;87;276.65
3.0;2015-01-03 09:00:00+00:00;101840;140;4.7;97;275.85
3.0;2015-01-03 12:00:00+00:00;101320;140;3.5;99;275.65
3.0;2015-01-03 15:00:00+00:00;100830;180;2.6;100;278.45
3.0;2015-01-03 18:00:00+00:00;101490;350;7.0;97;277.05
3.0;2015-01-03 21:00:00+00:00;101990;300;1.8;98;275.25
5.0;2015-01-04 00:00:00+00:00;102370;300;1.8;99;276.75
5.0;2015-01-04 03:00:00+00:00;102570;270;3.2;100;275.25
5.0;2015-01-04 06:00:00+00:00;102700;250;2.5;100;273.35
5.0;2015-01-04 09:00:00+00:00;102980;270;2.0;100;274.15
5.0;2015-01-04 12:00:00+00:00;103090;270;2.8;87;277.85
5.0;2015-01-04 15:00:00+00:00;103140;270;2.1;81;278.65
5.0;2015-01-04 18:00:00+00:00;103110;0;0.0;93;274.05
5.0;2015-01-04 21:00:00+00:00;103140;170;1.5;95;273.55
4.0;2015-01-05 00:00:00+00:00;103080;160;1.9;95;272.15
4.0;2015-01-05 03:00:00+00:00;102970;150;2.5;98;271.75
4.0;2015-01-05 06:00:00+00:00;102820;160;2.0;98;273.05
4.0;2015-01-05 09:00:00+00:00;102790;160;1.8;98;272.95
4.0;2015-01-05 12:00:00+00:00;102630;180;2.8;85;276.55
4.0;2015-01-05 15:00:00+00:00;102490;170;3.6;95;274.05
4.0;2015-01-05 18:00:00+00:00;102390;170;4.4;100;272.75
4.0;2015-01-05 21:00:00+00:00;102260;180;3.1;100;272.25
3.0;2015-01-06 00:00:00+00:00;102120;180;3.7;100;272.05
3.0;2015-01-06 03:00:00+00:00;101940;160;3.2;100;271.95
3.0;2015-01-06 06:00:00+00:00;101710;170;2.4;100;271.55
3.0;2015-01-06 09:00:00+00:00;101740;200;3.8;100;271.85
3.0;2015-01-06 12:00:00+00:00;101630;180;3.8;100;272.95
3.0;2015-01-06 15:00:00+00:00;101630;180;5.0;100;274.85
3.0;2015-01-06 18:00:00+00:00;101690;200;5.2;100;276.05
3.0;2015-01-06 21:00:00+00:00;101970;240;3.0;98;275.95
3.0;2015-01-07 00:00:00+00:00;102150;270;4.0;99;274.35
3.0;2015-01-07 03:00:00+00:00;102290;250;3.4;100;273.75
3.0;2015-01-07 06:00:00+00:00;102300;150;0.7;99;273.15
3.0;2015-01-07 09:00:00+00:00;102360;180;2.2;100;274.35
3.0;2015-01-07 12:00:00+00:00;102320;180;3.9;86;277.75
3.0;2015-01-07 15:00:00+00:00;102190;180;5.2;97;275.25
3.0;2015-01-07 18:00:00+00:00;102070;180;6.0;96;275.75
3.0;2015-01-07 21:00:00+00:00;101980;190;8.0;95;277.25
3.0;2015-01-08 00:00:00+00:00;101900;210;6.8;87;278.25
3.0;2015-01-08 03:00:00+00:00;101770;200;6.9;91;279.15
3.0;2015-01-08 06:00:00+00:00;101670;200;6.4;96;279.85
3.0;2015-01-08 09:00:00+00:00;101520;200;6.8;98;281.05
3.0;2015-01-08 12:00:00+00:00;101240;200;8.0;96;282.15
3.0;2015-01-08 15:00:00+00:00;101600;320;6.9;90;280.35
3.0;2015-01-08 18:00:00+00:00;102180;230;2.8;92;279.85
3.0;2015-01-08 21:00:00+00:00;102380;220;5.4;92;279.55
3.0;2015-01-09 00:00:00+00:00;102190;200;6.8;93;279.55
3.0;2015-01-09 03:00:00+00:00;102000;190;5.9;89;279.85
3.0;2015-01-09 06:00:00+00:00;101780;210;6.8;90;280.25
3.0;2015-01-09 09:00:00+00:00;101640;210;7.0;98;282.05
3.0;2015-01-09 12:00:00+00:00;101660;250;9.9;88;284.95
3.0;2015-01-09 15:00:00+00:00;101600;240;10.2;83;284.55
3.0;2015-01-09 18:00:00+00:00;101320;240;12.0;86;285.85
3.0;2015-01-09 21:00:00+00:00;101350;250;13.0;87;287.45
3.0;2015-01-10 00:00:00+00:00;101380;260;13.7;87;286.15
3.0;2015-01-10 03:00:00+00:00;101320;240;11.7;90;285.25
3.0;2015-01-10 06:00:00+00:00;101020;240;15.7;79;285.45
3.0;2015-01-10 09:00:00+00:00;100970;240;12.3;81;285.65
3.0;2015-01-10 12:00:00+00:00;100840;240;14.9;88;285.65
3.0;2015-01-10 15:00:00+00:00;100940;260;10.5;85;285.05
3.0;2015-01-10 18:00:00+00:00;101280;310;5.8;69;281.55
3.0;2015-01-10 21:00:00+00:00;101410;270;3.8;66;278.25
3.0;2015-01-11 00:00:00+00:00;101400;260;4.0;76;276.85
3.0;2015-01-11 03:00:00+00:00;101340;250;4.7;77;276.65
3.0;2015-01-11 06:00:00+00:00;101420;270;6.7;76;277.05
3.0;2015-01-11 09:00:00+00:00;101730;270;6.8;74;277.45
3.0;2015-01-11 12:00:00+00:00;101960;270;11.1;62;280.45
3.0;2015-01-11 15:00:00+00:00;101900;260;7.3;68;280.15
3.0;2015-01-11 18:00:00+00:00;101990;240;5.6;74;280.55
3.0;2015-01-11 21:00:00+00:00;101930;240;5.5;92;280.05
3.0;2015-01-12 00:00:00+00:00;101770;220;6.3;92;280.05
3.0;2015-01-12 03:00:00+00:00;101560;210;7.4;82;280.05
3.0;2015-01-12 06:00:00+00:00;101320;210;8.7;77;280.45
3.0;2015-01-12 09:00:00+00:00;101250;200;7.2;78;280.65
3.0;2015-01-12 12:00:00+00:00;101080;210;10.0;81;281.25
3.0;2015-01-12 15:00:00+00:00;100910;200;9.9;83;282.05
3.0;2015-01-12 18:00:00+00:00;100800;190;10.1;92;281.55
3.0;2015-01-12 21:00:00+00:00;100680;200;11.8;85;282.75
