date;IQ
2020-01-24 01:00:00+01:00;5
2020-01-25 01:00:00+01:00;5
2020-01-27 01:00:00+01:00;3
2020-01-28 01:00:00+01:00;4
2020-02-13 01:00:00+01:00;3
2020-02-14 01:00:00+01:00;3
2020-02-15 01:00:00+01:00;3
2020-02-16 01:00:00+01:00;4
2020-02-18 01:00:00+01:00;3
2020-02-24 01:00:00+01:00;3
2020-03-06 01:00:00+01:00;4
2020-03-08 01:00:00+01:00;3
2020-03-09 01:00:00+01:00;3
2020-03-10 01:00:00+01:00;3
2020-03-17 01:00:00+01:00;4
2020-03-18 01:00:00+01:00;4
2019-11-07 01:00:00+01:00;3
2019-11-14 01:00:00+01:00;3
2019-11-17 01:00:00+01:00;4
2019-11-21 01:00:00+01:00;5
2019-11-28 01:00:00+01:00;3
2019-11-29 01:00:00+01:00;3
2019-12-11 01:00:00+01:00;3
2019-12-15 01:00:00+01:00;4
2019-12-19 01:00:00+01:00;3
2019-12-31 01:00:00+01:00;6
2020-01-03 01:00:00+01:00;3
2020-01-04 01:00:00+01:00;3
2020-01-14 01:00:00+01:00;3
2020-01-17 01:00:00+01:00;3
2020-01-20 01:00:00+01:00;6
2019-03-19 01:00:00+01:00;4
2019-03-24 01:00:00+01:00;4
2019-04-02 02:00:00+02:00;5
2019-04-04 02:00:00+02:00;4
2019-04-05 02:00:00+02:00;4
2019-04-08 02:00:00+02:00;10
2019-04-13 02:00:00+02:00;4
2019-04-16 02:00:00+02:00;6
2019-05-01 02:00:00+02:00;8
2019-05-02 02:00:00+02:00;6
2019-05-03 02:00:00+02:00;4
2019-05-06 02:00:00+02:00;3
2019-05-12 02:00:00+02:00;4
2019-05-13 02:00:00+02:00;4
2019-05-19 02:00:00+02:00;5
2019-05-21 02:00:00+02:00;4
2019-05-22 02:00:00+02:00;4
2019-05-23 02:00:00+02:00;5
2019-05-28 02:00:00+02:00;3
2019-06-01 02:00:00+02:00;5
2019-06-02 02:00:00+02:00;5
2019-06-03 02:00:00+02:00;4
2019-06-10 02:00:00+02:00;4
2019-06-11 02:00:00+02:00;4
2019-06-14 02:00:00+02:00;4
2019-06-19 02:00:00+02:00;4
2019-07-01 02:00:00+02:00;4
2019-07-05 02:00:00+02:00;5
2019-07-09 02:00:00+02:00;4
2019-07-11 02:00:00+02:00;5
2019-07-19 02:00:00+02:00;4
2019-07-20 02:00:00+02:00;3
2019-07-30 02:00:00+02:00;3
2019-07-31 02:00:00+02:00;3
2019-08-09 02:00:00+02:00;3
2019-08-11 02:00:00+02:00;3
2019-08-15 02:00:00+02:00;3
2019-01-03 01:00:00+01:00;4
2019-01-08 01:00:00+01:00;3
2019-01-11 01:00:00+01:00;3
2019-01-13 01:00:00+01:00;3
2019-01-15 01:00:00+01:00;3
2019-01-18 01:00:00+01:00;4
2019-01-19 01:00:00+01:00;4
2019-01-20 01:00:00+01:00;7
2019-01-22 01:00:00+01:00;6
2019-01-25 01:00:00+01:00;6
2019-01-26 01:00:00+01:00;3
2019-01-29 01:00:00+01:00;3
2019-01-30 01:00:00+01:00;3
2019-02-01 01:00:00+01:00;5
2019-02-05 01:00:00+01:00;3
2019-02-09 01:00:00+01:00;3
2019-02-23 01:00:00+01:00;5
2019-03-01 01:00:00+01:00;6
2019-03-02 01:00:00+01:00;3
2019-03-18 01:00:00+01:00;3
2019-08-20 02:00:00+02:00;4
2019-08-25 02:00:00+02:00;6
2019-08-27 02:00:00+02:00;7
2019-08-29 02:00:00+02:00;4
2019-09-03 02:00:00+02:00;3
2019-09-04 02:00:00+02:00;3
2019-09-05 02:00:00+02:00;3
2019-09-09 02:00:00+02:00;3
2019-09-19 02:00:00+02:00;3
2019-09-20 02:00:00+02:00;4
