IQ;date;pressure;wind_direction;wind_force;humidity;temperature
4;2018-01-01 00:00:00+00:00;99480;220;12.4;73;281.05
4;2018-01-01 03:00:00+00:00;99740;220;8.1;84;279.35
4;2018-01-01 06:00:00+00:00;99850;210;7.5;82;279.05
4;2018-01-01 09:00:00+00:00;99730;180;6.1;84;278.75
4;2018-01-01 12:00:00+00:00;99240;170;6.8;87;279.95
4;2018-01-01 15:00:00+00:00;98830;170;4.6;91;279.05
4;2018-01-01 18:00:00+00:00;99370;290;6.9;89;278.55
4;2018-01-01 21:00:00+00:00;99830;260;7.2;83;279.65
3;2018-01-02 00:00:00+00:00;100120;260;9.6;70;280.85
3;2018-01-02 03:00:00+00:00;100500;270;7.9;73;279.95
3;2018-01-02 06:00:00+00:00;100680;260;5.9;81;278.35
3;2018-01-02 09:00:00+00:00;100800;200;2.4;86;277.25
3;2018-01-02 12:00:00+00:00;100670;180;4.9;86;279.55
3;2018-01-02 15:00:00+00:00;100320;160;5.4;92;279.55
3;2018-01-02 18:00:00+00:00;100030;190;8.2;96;280.55
3;2018-01-02 21:00:00+00:00;99750;200;7.5;94;282.55
4;2018-01-03 00:00:00+00:00;99080;190;11.2;92;283.85
4;2018-01-03 03:00:00+00:00;98690;250;14.6;82;284.15
4;2018-01-03 06:00:00+00:00;98600;240;12.8;67;282.75
4;2018-01-03 09:00:00+00:00;99050;260;12.7;64;281.65
4;2018-01-03 12:00:00+00:00;99420;250;13.6;64;282.55
4;2018-01-03 15:00:00+00:00;99640;250;12.3;65;283.05
4;2018-01-03 18:00:00+00:00;99740;250;11.1;68;282.05
4;2018-01-03 21:00:00+00:00;99770;250;10.7;69;282.15
3;2018-01-04 00:00:00+00:00;99730;230;5.8;78;281.15
3;2018-01-04 03:00:00+00:00;99610;220;5.9;87;281.25
3;2018-01-04 06:00:00+00:00;99360;190;4.9;95;280.65
3;2018-01-04 09:00:00+00:00;99070;170;4.8;98;281.05
3;2018-01-04 12:00:00+00:00;98870;240;12.2;86;285.85
3;2018-01-04 15:00:00+00:00;98880;240;11.8;75;285.45
3;2018-01-04 18:00:00+00:00;99050;250;12.5;67;283.15
3;2018-01-04 21:00:00+00:00;99250;240;8.6;73;281.85
3;2018-01-05 00:00:00+00:00;99170;190;7.8;83;281.05
3;2018-01-05 03:00:00+00:00;99060;230;8.5;81;282.85
3;2018-01-05 06:00:00+00:00;99130;220;6.4;84;281.65
3;2018-01-05 09:00:00+00:00;99170;200;4.7;85;281.15
3;2018-01-05 12:00:00+00:00;99110;200;7.5;83;282.45
3;2018-01-05 15:00:00+00:00;99190;220;5.7;85;280.25
3;2018-01-05 18:00:00+00:00;99350;220;4.5;84;279.35
3;2018-01-05 21:00:00+00:00;99530;200;5.0;89;278.55
4;2018-01-06 00:00:00+00:00;99670;160;2.1;90;276.45
4;2018-01-06 03:00:00+00:00;99700;170;1.8;92;276.95
4;2018-01-06 06:00:00+00:00;99780;70;1.4;94;277.55
4;2018-01-06 09:00:00+00:00;100020;60;0.6;95;277.85
4;2018-01-06 12:00:00+00:00;100210;20;2.4;90;279.45
4;2018-01-06 15:00:00+00:00;100370;30;3.9;88;279.65
4;2018-01-06 18:00:00+00:00;100610;20;5.7;88;279.45
4;2018-01-06 21:00:00+00:00;100910;30;5.3;88;279.25
3;2018-01-07 00:00:00+00:00;101080;20;7.2;88;278.55
3;2018-01-07 03:00:00+00:00;101250;30;6.9;87;277.25
3;2018-01-07 06:00:00+00:00;101390;30;8.5;84;276.65
3;2018-01-07 09:00:00+00:00;101670;40;8.5;82;276.75
3;2018-01-07 12:00:00+00:00;101680;40;9.2;79;276.75
3;2018-01-07 15:00:00+00:00;101670;40;7.9;79;276.15
3;2018-01-07 18:00:00+00:00;101720;40;8.9;78;275.85
3;2018-01-07 21:00:00+00:00;101760;50;6.9;79;275.15
3;2018-01-08 00:00:00+00:00;101760;40;5.7;81;275.45
3;2018-01-08 03:00:00+00:00;101690;40;5.9;82;275.45
3;2018-01-08 06:00:00+00:00;101610;40;5.8;85;275.45
3;2018-01-08 09:00:00+00:00;101600;50;5.1;85;276.15
3;2018-01-08 12:00:00+00:00;101450;40;5.6;83;277.05
3;2018-01-08 15:00:00+00:00;101270;40;4.3;82;277.75
3;2018-01-08 18:00:00+00:00;101180;20;4.3;85;277.45
3;2018-01-08 21:00:00+00:00;101070;40;4.0;91;275.65
5;2018-01-09 00:00:00+00:00;100850;60;2.9;93;275.15
5;2018-01-09 03:00:00+00:00;100700;40;1.2;96;274.45
5;2018-01-09 06:00:00+00:00;100510;60;2.2;96;274.35
5;2018-01-09 09:00:00+00:00;100350;70;1.7;96;275.35
5;2018-01-09 12:00:00+00:00;100270;170;2.8;92;277.35
5;2018-01-09 15:00:00+00:00;100200;180;5.4;93;278.55
5;2018-01-09 18:00:00+00:00;100240;190;4.0;93;278.75
5;2018-01-09 21:00:00+00:00;100210;160;3.1;90;280.15
3;2018-01-10 00:00:00+00:00;100160;160;4.2;93;280.55
3;2018-01-10 03:00:00+00:00;100090;160;4.6;96;280.75
3;2018-01-10 06:00:00+00:00;100090;160;4.2;94;279.95
3;2018-01-10 09:00:00+00:00;100170;180;5.2;94;279.95
3;2018-01-10 12:00:00+00:00;100150;190;4.1;94;280.75
3;2018-01-10 15:00:00+00:00;100160;170;3.0;89;281.55
3;2018-01-10 18:00:00+00:00;100270;170;2.8;87;280.65
3;2018-01-10 21:00:00+00:00;100350;180;1.7;93;279.95
4;2018-01-11 00:00:00+00:00;100410;140;1.2;97;278.75
4;2018-01-11 03:00:00+00:00;100550;130;0.6;99;277.65
4;2018-01-11 06:00:00+00:00;100720;0;0.0;99;277.75
4;2018-01-11 09:00:00+00:00;101010;150;1.4;99;278.15
4;2018-01-11 12:00:00+00:00;101190;280;0.6;99;278.45
4;2018-01-11 15:00:00+00:00;101380;310;2.1;99;278.75
4;2018-01-11 18:00:00+00:00;101570;10;1.6;99;278.65
4;2018-01-11 21:00:00+00:00;101790;310;3.4;99;277.85
7;2018-01-12 00:00:00+00:00;101890;340;1.5;99;277.65
7;2018-01-12 03:00:00+00:00;101980;350;3.2;99;277.75
7;2018-01-12 06:00:00+00:00;102030;320;1.6;99;278.25
