date;pressure;wind_direction;wind_force;humidity;temperature
1996-01-01 00:00:00;99380;0;0.0;96;275.95
1996-01-01 03:00:00;99440;150;2.0;97;275.25
1996-01-01 06:00:00;99440;150;2.0;97;275.15
1996-01-01 09:00:00;99470;90;2.0;97;275.35
1996-01-01 12:00:00;99470;70;1.0;97;276.45
1996-01-01 15:00:00;99450;40;2.0;97;276.85
1996-01-01 18:00:00;99550;50;2.0;97;276.65
1996-01-01 21:00:00;99580;60;3.0;97;276.75
1996-01-02 00:00:00;99660;60;3.0;97;276.65
1996-01-02 03:00:00;99780;50;4.1;97;274.85
1996-01-02 06:00:00;99960;60;2.0;98;274.25
1996-01-02 09:00:00;100300;30;3.0;98;273.54
1996-01-02 12:00:00;100530;350;2.0;98;274.25
1996-01-02 15:00:00;100790;340;2.0;98;274.25
1996-01-02 18:00:00;101100;300;2.0;98;273.54
1996-01-02 21:00:00;101290;0;0.0;98;272.75
1996-01-03 00:00:00;101420;0;0.0;98;272.54
1996-01-03 03:00:00;101530;0;0.0;98;272.54
1996-01-03 06:00:00;101580;0;0.0;98;272.95
1996-01-03 09:00:00;101720;0;0.0;98;273.04
1996-01-03 12:00:00;101700;140;2.0;98;273.45
1996-01-03 15:00:00;101670;160;3.0;98;273.15
1996-01-03 18:00:00;101770;0;0.0;98;273.25
1996-01-03 21:00:00;101560;140;6.1;98;273.65
1996-01-04 00:00:00;101520;160;5.1;98;273.04
1996-01-04 03:00:00;101350;0;0.0;98;272.65
1996-01-04 06:00:00;101170;0;0.0;98;273.04
1996-01-04 09:00:00;101070;150;6.1;98;273.65
1996-01-04 12:00:00;100730;120;6.1;92;276.15
1996-01-04 15:00:00;100470;120;4.1;88;276.04
1996-01-04 18:00:00;100300;140;7.2;80;275.15
1996-01-04 21:00:00;100180;150;5.1;80;274.85
1996-01-05 00:00:00;100000;160;4.1;82;274.65
1996-01-05 03:00:00;99840;150;4.1;84;274.85
1996-01-05 06:00:00;99740;140;4.1;87;274.25
1996-01-05 09:00:00;99600;130;4.1;85;274.65
1996-01-05 12:00:00;99490;150;4.1;76;276.85
1996-01-05 15:00:00;99270;90;3.0;80;277.04
1996-01-05 18:00:00;99240;110;3.0;78;276.75
1996-01-05 21:00:00;99270;140;3.0;83;275.95
1996-01-06 00:00:00;99210;160;3.0;84;275.45
1996-01-06 03:00:00;99200;160;4.1;94;274.45
1996-01-06 06:00:00;99140;150;3.0;95;274.04
1996-01-06 09:00:00;99100;150;4.1;95;274.25
1996-01-06 12:00:00;99040;150;5.1;97;275.25
1996-01-06 15:00:00;98830;130;4.1;95;275.95
1996-01-06 18:00:00;98590;100;6.1;93;275.95
1996-01-06 21:00:00;98440;120;5.1;91;276.04
1996-01-07 00:00:00;98230;120;6.1;93;277.15
1996-01-07 03:00:00;98180;160;4.1;95;278.35
1996-01-07 06:00:00;98290;180;6.1;93;281.25
1996-01-07 09:00:00;98520;190;6.1;91;281.85
1996-01-07 12:00:00;98850;190;7.2;84;283.85
1996-01-07 15:00:00;99140;190;5.1;80;284.04
1996-01-07 18:00:00;99450;180;3.0;86;281.25
1996-01-07 21:00:00;99730;180;4.1;89;280.15
1996-01-08 00:00:00;99930;140;2.0;93;278.95
1996-01-08 03:00:00;100100;160;6.1;95;278.95
1996-01-08 06:00:00;100180;170;4.1;91;280.25
1996-01-08 09:00:00;100280;170;7.2;91;280.15
1996-01-08 12:00:00;100180;160;8.2;85;282.75
1996-01-08 15:00:00;100110;160;7.2;82;283.25
1996-01-08 18:00:00;100040;140;8.2;84;281.45
1996-01-08 21:00:00;99880;140;7.2;81;281.04
1996-01-09 00:00:00;99570;140;8.2;78;281.04
1996-01-09 03:00:00;99330;150;8.2;73;280.95
1996-01-09 06:00:00;99270;160;7.2;80;280.45
1996-01-09 09:00:00;99390;160;7.2;78;280.95
1996-01-09 12:00:00;99480;170;6.1;88;281.45
1996-01-09 15:00:00;99600;190;7.2;88;282.65
1996-01-09 18:00:00;99820;180;5.1;89;282.35
1996-01-09 21:00:00;99900;140;4.1;94;280.35
1996-01-10 00:00:00;99990;150;2.0;95;279.35
1996-01-10 03:00:00;99990;130;1.0;95;278.95
1996-01-10 06:00:00;99960;140;2.0;97;279.65
1996-01-10 09:00:00;100060;0;0.0;97;280.65
1996-01-10 12:00:00;100010;180;2.0;97;281.95
1996-01-10 15:00:00;100020;150;2.0;95;282.15
1996-01-10 18:00:00;100030;160;3.0;94;281.65
1996-01-10 21:00:00;100020;150;2.0;94;280.95
1996-01-11 00:00:00;99870;140;1.0;94;280.54
1996-01-11 03:00:00;99660;160;5.1;94;280.35
1996-01-11 06:00:00;99510;170;4.1;93;279.35
1996-01-11 09:00:00;99490;170;6.1;89;281.04
1996-01-11 12:00:00;99300;160;7.2;82;281.75
1996-01-11 15:00:00;99000;140;8.7;82;281.45
1996-01-11 18:00:00;98940;160;8.2;86;281.15
1996-01-11 21:00:00;98990;170;7.2;87;282.04
1996-01-12 00:00:00;98990;170;7.2;88;282.25
1996-01-12 03:00:00;99070;170;6.1;88;282.35
1996-01-12 06:00:00;99160;170;6.1;86;281.25
1996-01-12 09:00:00;99360;160;5.1;88;281.15
1996-01-12 12:00:00;99440;170;6.1;79;283.45
1996-01-12 18:00:00;99690;160;5.1;85;281.65
1996-01-12 21:00:00;99890;170;5.1;87;280.95
